address,hwaddr,client_id,valid_lifetime,expire,subnet_id,fqdn_fwd,fqdn_rev,hostname,state,user_context,pool_id
192.168.20.101,02:42:ac:11:00:12,,43200,1765835070,1,0,0,cliente3,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1765835072,1,0,0,cliente2,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1765835080,1,0,0,client1,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1765835185,1,0,0,cliente2,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1765835185,1,0,0,client1,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1765813585,2,0,0,cliente4,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1765835185,1,0,0,cliente3,0,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1765813595,2,0,0,cliente5,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1765814089,2,0,0,cliente4,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1765835689,1,0,0,client1,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1765835689,1,0,0,cliente3,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1765835689,1,0,0,cliente2,0,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1765814099,2,0,0,cliente5,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1765835766,1,0,0,client1,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1765835766,1,0,0,cliente2,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1765814166,2,0,0,cliente4,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1765835766,1,0,0,cliente3,0,,0
172.21.20.51,02:42:ac:11:00:14,,21600,1765814176,2,0,0,cliente5,0,,0
192.168.20.101,02:42:ac:11:00:12,,43200,1765836038,1,1,1,cliente3,0,,0
192.168.20.100,02:42:ac:11:00:10,,43200,1765836038,1,1,1,client1,0,,0
172.21.20.50,02:42:ac:11:00:13,,21600,1765814438,2,1,1,cliente4,0,,0
192.168.20.102,02:42:ac:11:00:11,,43200,1765836038,1,1,1,cliente2,0,,0
